age,income,education_years,hours_per_week,occupation,income_bracket
25,32000,13,40,Tech,<=50K
38,85000,16,50,Finance,>50K
45,52000,12,38,Retail,<=50K
28,47000,14,40,Tech,<=50K
55,120000,18,60,Executive,>50K
33,61000,15,45,Healthcare,>50K
22,28000,12,35,Retail,<=50K
41,93000,16,55,Finance,>50K
36,58000,14,40,Tech,>50K
29,39000,13,40,Admin,<=50K
52,110000,17,50,Executive,>50K
31,44000,14,42,Healthcare,<=50K
47,67000,15,45,Tech,>50K
26,30000,12,38,Retail,<=50K
39,79000,16,48,Finance,>50K
34,55000,14,41,Healthcare,<=50K
61,88000,16,40,Executive,>50K
27,35000,13,37,Admin,<=50K
43,72000,15,46,Tech,>50K
50,95000,17,52,Finance,>50K
30,41000,14,40,Retail,<=50K
37,63000,15,44,Healthcare,>50K
24,29000,12,36,Admin,<=50K
48,105000,18,55,Executive,>50K
35,57000,14,43,Tech,<=50K
